,kingdom,supergroup,division,class,order,family,genus,species,taxon
Cercozoa_328,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Cryothecomonas-lineage,Cryothecomonas,Cryothecomonas_sp.,Cryothecomonas_sp.
Cercozoa_417,Eukaryota,Rhizaria,Cercozoa,,,,,,Cercozoa
Chlorophyta__Streptophyta_1047,Eukaryota,Archaeplastida,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichales_X,Ulothrix,Ulothrix_sp.,Ulothrix_sp.
Ciliophora_739,Eukaryota,Alveolata,Ciliophora,Cyclotrichium_like_organism,Cyclotrichium_like_organism_X,Cyclotrichium_like_organism_XX,Cyclotrichium,Cyclotrichium_cyclokaryon,Cyclotrichium_cyclokaryon
Dinoflagellata_1073,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-16,Dino-Group-II-Clade-16_X,Dino-Group-II-Clade-16_X_sp.,Dino-Group-II-Clade-16_X_sp.
Telonemia_29,Eukaryota,Hacrobia,Telonemia,Telonemia_X,Telonemia_XX,,,,Telonemia_XX
Bacillariophyta_111,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Actinoptychus,Actinoptychus_sinensis,Actinoptychus_sinensis
Chlorophyta__Streptophyta_1098,Eukaryota,Archaeplastida,Chlorophyta,Ulvophyceae,Ulvales-relatives,Ulvales-relatives_X,Acrochaete,,Acrochaete
Ciliophora_364,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Strombidiida_G,Strombidiida_G_X,Strombidiida_G_XX,Strombidiida_G_XX_sp.,Strombidiida_G_XX_sp.
Metamonada_19,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha_sp.,Dinenympha_sp.
Bacillariophyta_119,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Guinardia,Guinardia_delicatula,Guinardia_delicatula
Bolidophyceae_6,Eukaryota,Stramenopiles,Ochrophyta,Bolidophyceae,Parmales,Parmales_env_2,Parmales_env_2_X,Parmales_env_2_X_sp.,Parmales_env_2_X_sp.
Cryptophyta_118,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Geminigera,Geminigera_cryophila,Geminigera_cryophila
Dinoflagellata_1335,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Polarella,Polarella_glacialis,Polarella_glacialis
Dinoflagellata_1430,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Amphidomataceae,Azadinium,Azadinium_cuneatum,Azadinium_cuneatum
Cercozoa_426,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Thaumatomonadida,Thaumatomonadidae,Thaumatomonas,Thaumatomonas_seravini,Thaumatomonas_seravini
Bacillariophyta_123,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Guinardia,Guinardia_delicatula,Guinardia_delicatula
Conosa_87,Eukaryota,Amoebozoa,Conosa,Archamoebea,Archamoebea_X,Entamoebidae,Entamoeba,,Entamoeba
Pseudofungi_35,Eukaryota,Stramenopiles,Pseudofungi,MAST-1,MAST-1A,MAST-1A_X,MAST-1A_XX,MAST-1A_XX_sp.,MAST-1A_XX_sp.
Bacillariophyta_7,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,Neofragilaria,Neofragilaria_nicobarica,Neofragilaria_nicobarica
Cercozoa_369,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Ebriida,Ebriidae,Ebria,Ebria_tripartita,Ebria_tripartita
Bacillariophyta_226,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,,,Raphid-pennate
Bacillariophyta_72,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,,,Polar-centric-Mediophyceae
Cercozoa_118,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Paracercomonadidae,Paracercomonas,Paracercomonas_sp.,Paracercomonas_sp.
Cercozoa_201,Eukaryota,Rhizaria,Cercozoa,Endomyxa,Vampyrellida,,,,Vampyrellida
Cercozoa_377,Eukaryota,Rhizaria,Cercozoa,Phaeodarea,Phaeogromida,Challengeriidae,Challengeron,Challengeron_diodon,Challengeron_diodon
Chlorophyta__Streptophyta_174,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Cosmelia,Cosmelia_rubra,Cosmelia_rubra
Chlorophyta__Streptophyta_211,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Gilia,Gilia_capitata,Gilia_capitata
Chlorophyta__Streptophyta_841,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_prasinos,Bathycoccus_prasinos
Chlorophyta__Streptophyta_845,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_prasinos,Bathycoccus_prasinos
Chrysophyceae_94,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-C,Spumella,Spumella_vulgaris,Spumella_vulgaris
Ciliophora_80,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Holostichidae,Holosticha,,Holosticha
Dictyochophyceae_22,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Pedinellales,,,Pedinellales
Dinoflagellata_1494,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium_mootonorum,Amphidinium_mootonorum
Dinoflagellata_1524,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Polykrikos,Polykrikos_schwartzii,Polykrikos_schwartzii
Dinoflagellata_1852,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniopsidaceae,Parvodinium,Parvodinium_umbonatum,Parvodinium_umbonatum
Phaeophyceae_141,Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae,Phaeophyceae_X,Phaeophyceae_XX,,,Phaeophyceae_XX
Pseudofungi_36,Eukaryota,Stramenopiles,Pseudofungi,MAST-1,MAST-1A,MAST-1A_X,MAST-1A_XX,MAST-1A_XX_sp.,MAST-1A_XX_sp.
Bacillariophyta_33,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Thalassiosira,Thalassiosira_delicatula,Thalassiosira_delicatula
Cercozoa_13,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Filosa-Imbricatea_X,Novel-clade-2,Novel-clade-2_X,Novel-clade-2_X_sp.,Novel-clade-2_X_sp.
Cercozoa_225,Eukaryota,Rhizaria,Cercozoa,Endomyxa-Ascetosporea,Haplosporida,Haplosporidiidae,,,Haplosporidiidae
Cercozoa_312,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Filosa-Thecofilosea_X,Mataza-lineage,Mataza-lineage_X,Mataza-lineage_X_sp.,Mataza-lineage_X_sp.
Cercozoa_356,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Rhogostoma-lineage,Rhogostoma-lineage_X,Rhogostoma-lineage_X_sp.,Rhogostoma-lineage_X_sp.
Ciliophora_303,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Tintinnida,Tintinnidae,Tintinnidae_X,Tintinnidae_X_sp.,Tintinnidae_X_sp.
Dinoflagellata_1056,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,Dino-Group-II-Clade-10-and-11_X_sp.
Dinoflagellata_1093,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,Dino-Group-II-Clade-1_X_sp.,Dino-Group-II-Clade-1_X_sp.
Apicomplexa_109,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Agamococcidiorida,Margolisiellidae,Margolisiellidae_X,Margolisiellidae_X_sp.,Margolisiellidae_X_sp.
Ciliophora_1338,Eukaryota,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria_1,PHYLL_4,PHYLL_4_X,PHYLL_4_X_sp.,PHYLL_4_X_sp.
Ciliophora_830,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Peritrichia_2,Sessilida,Vorticella,Vorticella_convallaria,Vorticella_convallaria
Dinoflagellata_763,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium_conicum,Protoperidinium_conicum
Opalozoa_11,Eukaryota,Stramenopiles,Opalozoa,MAST-12,MAST-12A,MAST-12A_X,MAST-12A_XX,MAST-12A_XX_sp.,MAST-12A_XX_sp.
Rhodophyta_1032,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Gracilariales,Gracilariales_X,Gracilaria,Gracilaria_millardetii,Gracilaria_millardetii
Apicomplexa_204,Eukaryota,Alveolata,Apicomplexa,Colpodellidea,Colpodellida,Colpodellaceae,Colpodella,Colpodella_sp.,Colpodella_sp.
Apicomplexa_205,Eukaryota,Alveolata,Apicomplexa,,,,,,Apicomplexa
Apicomplexa_61,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Haemosporida,Plasmodiidae,,,Plasmodiidae
Ciliophora_1130,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Hymenostomatia,,,,Hymenostomatia
Ciliophora_935,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Apostomatia,,,,Apostomatia
