,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
B234-P_B41_16S.16S.exp.,2.5821017270726236,1.0137816944464935,3.5855753006606883,2.0887520867070744,3595.77368826904,1085.0975756697296,4025071.1704196427,1199223.6503622157,42.86417626907234,6.1766398722300755,0.3920011800761243,0.059162928870598895,0.576249705712981,0.09891635724190753
B234-P_Station_B13_16S.16S.exp.,2.3633760181713437,1.1924629043983554,3.560683006425959,2.9048041593324543,3277.540611561264,1406.1280279740506,3670765.9505534195,1604334.8893861864,41.57536838201979,8.979116318990629,0.41269087101079927,0.08484211358059557,0.5293079962170006,0.12518328193533984
Barrow_S2C2_16S.16S.exp.,2.505978557422183,1.070022839054663,6.340941248375192,4.897773597233074,2901.608947338597,1466.043433638823,3450923.8637384297,1774966.3236663796,34.187610568137515,10.62050015793215,0.45388980871195544,0.13473907949536348,0.441731677936555,0.12349534817719797
B234-P_Carboy9_16S.16S.exp.,3.0229472655187357,1.4550273400671785,3.5759965484260015,2.9744800611049556,3449.1565980439286,872.3466892987276,3950765.496989525,1003723.5219304066,40.615135521715324,7.508608000946523,0.37813973289605396,0.08036000490992716,0.5213962167280988,0.1422366066890055
Barrow_S2C1D_16S.16S.exp.,2.679822696075081,1.1615221636304083,4.171898708813265,3.328556450166424,3354.4308178181955,1078.1871826105114,3836450.939297768,1244152.647311547,40.1280817602406,8.347402393619797,0.4006654137916533,0.09084569561422867,0.5274092140203126,0.12851879103858035
B234-P_Blank771_16S.16S.exp.,2.581285298714075,1.3807913102419773,5.749806712385772,5.190602990183376,2958.5588936485324,1390.7248559209022,3546349.878840703,1711758.2430405796,34.753833726805084,12.001108843914443,0.4432311671085564,0.1568691753326438,0.4035457407148975,0.13187019087813653
B234-P_Hero13_16S.16S.exp.,2.2811161862291582,1.4753641380489613,2.5533712455307462,2.623821962743015,3220.3045505519326,1311.071308401796,3743606.4393686,1540304.485653253,48.37610452094467,12.284755903798708,0.4176263333041928,0.0809562594057519,0.4913620240707963,0.12002870255152301
B234-P_Station_B14_16S.16S.exp.,2.5814533709939034,1.03439774824484,3.610070298723419,2.2471672804822287,3521.954393296672,1158.2134254820337,3957367.311572408,1286645.8336392792,42.12954555456783,7.091472855476673,0.3946686735582138,0.07527012642306719,0.5605730656423501,0.11561009416147884
Barrow_BarrowBlank2_16S.16S.exp.,2.765494670191619,1.172964999590379,7.650406716561494,4.978249525980325,3144.7202909320918,1163.7770216756123,3847834.552647058,1423638.7687733974,37.15472701427661,9.901851646994306,0.4150253783595714,0.07557563457924532,0.44150662937634544,0.09701675759242448
mock_community_I_3_16S.16S.exp.,5.57524384893011,1.4352677485407066,1.2809824377984815,0.6449854579517555,3075.0614068180025,1356.852050271167,3282101.772223643,1535570.0946170322,41.977119433625376,11.825954466286959,0.494658188522847,0.03498283662145929,0.4944742518095038,0.0351966331207502
B234-P_SW_core_6_16S.16S.exp.,2.689655172413793,0.9342144315702168,3.226600985221675,1.5567479704601044,3545.049261083744,864.5490594406868,3973143.647783251,943510.0218226595,42.79710484114138,5.638688502253419,0.38032406965495996,0.06168968005875044,0.5833508769141981,0.10208637173526608
B234-P_Station_B22_16S.16S.exp.,2.5747365063997476,1.1972866497551762,3.595313192211425,2.706313634014422,3472.7511462772004,1374.4050660264068,3914018.3045284464,1555547.212729872,41.37710080577705,9.276663396093863,0.40328241701757367,0.0886393527840974,0.5444884461159372,0.126101486489115
B234-P_DockSlush2_16S.16S.exp.,2.8075205085690564,1.7802784860144925,2.6127818501902658,2.667140409273383,3225.334000353445,1249.4521501303673,3765700.7834283877,1439946.7394321014,46.94306064643004,12.154908874055257,0.3969573750661233,0.08250124407548344,0.4846978017300908,0.13493160658029668
Barrow_S1IC4_16S.16S.exp.,2.758693647000387,1.3895732775617244,5.750967336090362,4.973488003427587,3176.055490240214,1227.0951226353795,3790130.4122170922,1508308.0269907457,36.76113675459107,10.935695757928338,0.41779107048677666,0.12345547081425304,0.4375358882253145,0.13169797693332305
B234-P_Carboy7_16S.16S.exp.,2.972400537660845,1.2544020396064373,3.670743999756619,2.978584609493412,3486.832056134777,785.5553125993383,4000108.7640445507,898840.5500387625,40.52371549181544,6.954367782484194,0.3711401350039079,0.07344443296047817,0.5230363370244806,0.14397328278228855
B234-P_BlankFiltSW1_16S.16S.exp.,2.017797932514141,1.4962822673717329,1.6042398088550807,0.4911150186749284,2385.166154671348,1778.4810317084791,2922607.033389409,2017623.2909173497,46.665996603940975,13.174491319181714,0.40316536028705047,0.038325377404834216,0.5054255839672911,0.09528332313723968
B234-P_CTDSW_16S.16S.exp.,2.4030156535004856,1.363379943546318,3.9390142259411456,2.934729341016213,3155.3082479451054,1230.941412574258,3563061.0474074236,1424601.798020959,42.19037211376988,9.983314787497196,0.4285320582106184,0.08131043237674124,0.5292981531247832,0.1073927230091707
