"","CultureID_short","Sample_type","molFractionN_pertotalN","total_mmol","Identification","Emperical.Formula","Contains_N","Contains_S"
"981","StaB5","SW_Station B5",2.14e-05,3.3043087038,"Pyridoxal †","C8H9NO3","yes","no"
"982","20ppt3C","Exp_Melted",0,5.03638960083333,"Resorcylic acid","C7H6O4","no","no"
"983","35ppt0C","Exp_Ambient",0,5.92183442183333,"Resorcylic acid","C7H6O4","no","no"
"984","50ppt-3C","Exp_Frozen",0,6.15430778015333,"Resorcylic acid","C7H6O4","no","no"
"985","Hero1","Melted_hero",0,2.487340006,"Resorcylic acid","C7H6O4","no","no"
"986","StaB1","SW_Station B1",0,4.50595275168,"Resorcylic acid","C7H6O4","no","no"
"987","StaB2","SW_Station B2",0,3.49105586,"Resorcylic acid","C7H6O4","no","no"
"988","StaB3","SW_Station B3",0,3.02653721546667,"Resorcylic acid","C7H6O4","no","no"
"989","StaB4","SW_Station B4",0,4.40089132708333,"Resorcylic acid","C7H6O4","no","no"
"990","StaB5","SW_Station B5",0,3.3043087038,"Resorcylic acid","C7H6O4","no","no"
"991","20ppt3C","Exp_Melted",0,5.03638960083333,"R5P","C5H11O8P","no","no"
"992","35ppt0C","Exp_Ambient",0,5.92183442183333,"R5P","C5H11O8P","no","no"
"993","50ppt-3C","Exp_Frozen",0,6.15430778015333,"R5P","C5H11O8P","no","no"
"994","Hero1","Melted_hero",0,2.487340006,"R5P","C5H11O8P","no","no"
"995","StaB1","SW_Station B1",0,4.50595275168,"R5P","C5H11O8P","no","no"
"996","StaB2","SW_Station B2",0,3.49105586,"R5P","C5H11O8P","no","no"
"997","StaB3","SW_Station B3",0,3.02653721546667,"R5P","C5H11O8P","no","no"
"998","StaB4","SW_Station B4",0,4.40089132708333,"R5P","C5H11O8P","no","no"
"999","StaB5","SW_Station B5",0,3.3043087038,"R5P","C5H11O8P","no","no"
"1000","20ppt3C","Exp_Melted",1.18666666666667e-05,5.03638960083333,"Cyano B12 †","C63H88CoN14O14P","yes","no"
"1001","35ppt0C","Exp_Ambient",7.52666666666667e-06,5.92183442183333,"Cyano B12 †","C63H88CoN14O14P","yes","no"
"1002","50ppt-3C","Exp_Frozen",1.14133333333333e-05,6.15430778015333,"Cyano B12 †","C63H88CoN14O14P","yes","no"
"1003","Hero1","Melted_hero",3.61666666666667e-06,2.487340006,"Cyano B12 †","C63H88CoN14O14P","yes","no"
"1004","StaB1","SW_Station B1",1.332e-06,4.50595275168,"Cyano B12 †","C63H88CoN14O14P","yes","no"
"1005","StaB2","SW_Station B2",6.49666666666667e-07,3.49105586,"Cyano B12 †","C63H88CoN14O14P","yes","no"
"1006","StaB3","SW_Station B3",3.90333333333333e-07,3.02653721546667,"Cyano B12 †","C63H88CoN14O14P","yes","no"
"1007","StaB4","SW_Station B4",5.25e-07,4.40089132708333,"Cyano B12 †","C63H88CoN14O14P","yes","no"
"1008","StaB5","SW_Station B5",4.71e-07,3.3043087038,"Cyano B12 †","C63H88CoN14O14P","yes","no"
"1009","20ppt3C","Exp_Melted",0.0237333333333333,5.03638960083333,"Serine †","C3H7NO3","yes","no"
"1010","35ppt0C","Exp_Ambient",0.045,5.92183442183333,"Serine †","C3H7NO3","yes","no"
"1011","50ppt-3C","Exp_Frozen",0.0486333333333333,6.15430778015333,"Serine †","C3H7NO3","yes","no"
"1012","Hero1","Melted_hero",0.0524,2.487340006,"Serine †","C3H7NO3","yes","no"
"1013","StaB1","SW_Station B1",0.06208,4.50595275168,"Serine †","C3H7NO3","yes","no"
"1014","StaB2","SW_Station B2",0.0382666666666667,3.49105586,"Serine †","C3H7NO3","yes","no"
"1015","StaB3","SW_Station B3",0.0326666666666667,3.02653721546667,"Serine †","C3H7NO3","yes","no"
"1016","StaB4","SW_Station B4",0.0520666666666667,4.40089132708333,"Serine †","C3H7NO3","yes","no"
"1017","StaB5","SW_Station B5",0.0362333333333333,3.3043087038,"Serine †","C3H7NO3","yes","no"
"1018","20ppt3C","Exp_Melted",8.31666666666667e-05,5.03638960083333,"Proline betaine †","C7H13NO2","yes","no"
"1019","35ppt0C","Exp_Ambient",8.40666666666667e-05,5.92183442183333,"Proline betaine †","C7H13NO2","yes","no"
"1020","50ppt-3C","Exp_Frozen",0.000143666666666667,6.15430778015333,"Proline betaine †","C7H13NO2","yes","no"
"1021","Hero1","Melted_hero",0.00173666666666667,2.487340006,"Proline betaine †","C7H13NO2","yes","no"
"1022","StaB1","SW_Station B1",0.0010772,4.50595275168,"Proline betaine †","C7H13NO2","yes","no"
"1023","StaB2","SW_Station B2",0.000346,3.49105586,"Proline betaine †","C7H13NO2","yes","no"
"1024","StaB3","SW_Station B3",0.000174333333333333,3.02653721546667,"Proline betaine †","C7H13NO2","yes","no"
"1025","StaB4","SW_Station B4",0.000318333333333333,4.40089132708333,"Proline betaine †","C7H13NO2","yes","no"
"1026","StaB5","SW_Station B5",0.000285666666666667,3.3043087038,"Proline betaine †","C7H13NO2","yes","no"
"1027","20ppt3C","Exp_Melted",1.98966666666667e-06,5.03638960083333,"Sulfurol †*","C6H9NOS","yes","yes"
"1028","35ppt0C","Exp_Ambient",2.12333333333333e-06,5.92183442183333,"Sulfurol †*","C6H9NOS","yes","yes"
"1029","50ppt-3C","Exp_Frozen",2.721e-06,6.15430778015333,"Sulfurol †*","C6H9NOS","yes","yes"
"1030","Hero1","Melted_hero",1.24333333333333e-06,2.487340006,"Sulfurol †*","C6H9NOS","yes","yes"
"1031","StaB1","SW_Station B1",4.57e-07,4.50595275168,"Sulfurol †*","C6H9NOS","yes","yes"
"1032","StaB2","SW_Station B2",2.23333333333333e-07,3.49105586,"Sulfurol †*","C6H9NOS","yes","yes"
"1033","StaB3","SW_Station B3",1.7e-07,3.02653721546667,"Sulfurol †*","C6H9NOS","yes","yes"
"1034","StaB4","SW_Station B4",1.51666666666667e-07,4.40089132708333,"Sulfurol †*","C6H9NOS","yes","yes"
"1035","StaB5","SW_Station B5",1.36e-07,3.3043087038,"Sulfurol †*","C6H9NOS","yes","yes"
"1036","20ppt3C","Exp_Melted",0.0590333333333333,5.03638960083333,"Taurine †*","C2H7NO3S","yes","yes"
"1037","35ppt0C","Exp_Ambient",0.229022166666667,5.92183442183333,"Taurine †*","C2H7NO3S","yes","yes"
"1038","50ppt-3C","Exp_Frozen",0.2908791,6.15430778015333,"Taurine †*","C2H7NO3S","yes","yes"
"1039","Hero1","Melted_hero",0.01787,2.487340006,"Taurine †*","C2H7NO3S","yes","yes"
"1040","StaB1","SW_Station B1",0.49678744,4.50595275168,"Taurine †*","C2H7NO3S","yes","yes"
"1041","StaB2","SW_Station B2",0.350396433333333,3.49105586,"Taurine †*","C2H7NO3S","yes","yes"
