"","CultureID_short","Sample_type","molFractionC_pertotalC","total_mmol","Identification","Emperical.Formula","Contains_N","Contains_S"
"144","StaB5","SW_Station B5",0.000208666666666667,3.12584895483333,"Agmatine †","C5H14N4","yes","no"
"145","20ppt3C","Exp_Melted",0.106455733333333,2.48661013953333,"Alanine †","C3H7NO2","yes","no"
"146","35ppt0C","Exp_Ambient",0.471473966666667,4.03353305183333,"Alanine †","C3H7NO2","yes","no"
"147","50ppt-3C","Exp_Frozen",0.2373901,3.98563384757333,"Alanine †","C3H7NO2","yes","no"
"148","Hero1","Melted_hero",0.0220666666666667,1.34416321036667,"Alanine †","C3H7NO2","yes","no"
"149","StaB1","SW_Station B1",0.2222647,3.53316924234,"Alanine †","C3H7NO2","yes","no"
"150","StaB2","SW_Station B2",0.2416154,3.01257189273333,"Alanine †","C3H7NO2","yes","no"
"151","StaB3","SW_Station B3",0.2193086,2.55934740726667,"Alanine †","C3H7NO2","yes","no"
"152","StaB4","SW_Station B4",0.359416233333333,3.64243740004,"Alanine †","C3H7NO2","yes","no"
"153","StaB5","SW_Station B5",0.287556933333333,3.12584895483333,"Alanine †","C3H7NO2","yes","no"
"154","20ppt3C","Exp_Melted",1.63666666666667e-08,2.48661013953333,"APA †*","C3H9NO3S","yes","yes"
"155","20ppt3C","Exp_Melted",1.63666666666667e-08,2.48661013953333,"3-Aminopropanesulfonate †*","C3H9NO3S","yes","yes"
"156","35ppt0C","Exp_Ambient",7.25333333333333e-05,4.03353305183333,"APA †*","C3H9NO3S","yes","yes"
"157","35ppt0C","Exp_Ambient",7.25333333333333e-05,4.03353305183333,"3-Aminopropanesulfonate †*","C3H9NO3S","yes","yes"
"158","50ppt-3C","Exp_Frozen",3.85333333333333e-08,3.98563384757333,"APA †*","C3H9NO3S","yes","yes"
"159","50ppt-3C","Exp_Frozen",3.85333333333333e-08,3.98563384757333,"3-Aminopropanesulfonate †*","C3H9NO3S","yes","yes"
"160","Hero1","Melted_hero",3.21e-05,1.34416321036667,"APA †*","C3H9NO3S","yes","yes"
"161","Hero1","Melted_hero",3.21e-05,1.34416321036667,"3-Aminopropanesulfonate †*","C3H9NO3S","yes","yes"
"162","StaB1","SW_Station B1",1.72e-05,3.53316924234,"APA †*","C3H9NO3S","yes","yes"
"163","StaB1","SW_Station B1",1.72e-05,3.53316924234,"3-Aminopropanesulfonate †*","C3H9NO3S","yes","yes"
"164","StaB2","SW_Station B2",8.94e-06,3.01257189273333,"APA †*","C3H9NO3S","yes","yes"
"165","StaB2","SW_Station B2",8.94e-06,3.01257189273333,"3-Aminopropanesulfonate †*","C3H9NO3S","yes","yes"
"166","StaB3","SW_Station B3",1.86666666666667e-08,2.55934740726667,"APA †*","C3H9NO3S","yes","yes"
"167","StaB3","SW_Station B3",1.86666666666667e-08,2.55934740726667,"3-Aminopropanesulfonate †*","C3H9NO3S","yes","yes"
"168","StaB4","SW_Station B4",2.43333333333333e-08,3.64243740004,"APA †*","C3H9NO3S","yes","yes"
"169","StaB4","SW_Station B4",2.43333333333333e-08,3.64243740004,"3-Aminopropanesulfonate †*","C3H9NO3S","yes","yes"
"170","StaB5","SW_Station B5",2.32e-08,3.12584895483333,"APA †*","C3H9NO3S","yes","yes"
"171","StaB5","SW_Station B5",2.32e-08,3.12584895483333,"3-Aminopropanesulfonate †*","C3H9NO3S","yes","yes"
"172","20ppt3C","Exp_Melted",0.0238666666666667,2.48661013953333,"AMP †","C10H14N5O7P","yes","no"
"173","35ppt0C","Exp_Ambient",0.0427666666666667,4.03353305183333,"AMP †","C10H14N5O7P","yes","no"
"174","50ppt-3C","Exp_Frozen",0.0141,3.98563384757333,"AMP †","C10H14N5O7P","yes","no"
"175","Hero1","Melted_hero",0.00697333333333333,1.34416321036667,"AMP †","C10H14N5O7P","yes","no"
"176","StaB1","SW_Station B1",0.03218,3.53316924234,"AMP †","C10H14N5O7P","yes","no"
"177","StaB2","SW_Station B2",0.0403666666666667,3.01257189273333,"AMP †","C10H14N5O7P","yes","no"
"178","StaB3","SW_Station B3",0.0221666666666667,2.55934740726667,"AMP †","C10H14N5O7P","yes","no"
"179","StaB4","SW_Station B4",0.0432,3.64243740004,"AMP †","C10H14N5O7P","yes","no"
"180","StaB5","SW_Station B5",0.0186333333333333,3.12584895483333,"AMP †","C10H14N5O7P","yes","no"
"181","20ppt3C","Exp_Melted",2.16333333333333e-05,2.48661013953333,"Anserine †","C10H16N4O3","yes","no"
"182","35ppt0C","Exp_Ambient",7.31666666666667e-06,4.03353305183333,"Anserine †","C10H16N4O3","yes","no"
"183","50ppt-3C","Exp_Frozen",1.26666666666667e-05,3.98563384757333,"Anserine †","C10H16N4O3","yes","no"
"184","Hero1","Melted_hero",0.000278666666666667,1.34416321036667,"Anserine †","C10H16N4O3","yes","no"
"185","StaB1","SW_Station B1",0.0001492,3.53316924234,"Anserine †","C10H16N4O3","yes","no"
"186","StaB2","SW_Station B2",7.75333333333333e-05,3.01257189273333,"Anserine †","C10H16N4O3","yes","no"
"187","StaB3","SW_Station B3",7.66666666666667e-05,2.55934740726667,"Anserine †","C10H16N4O3","yes","no"
"188","StaB4","SW_Station B4",1.92e-05,3.64243740004,"Anserine †","C10H16N4O3","yes","no"
"189","StaB5","SW_Station B5",1.83666666666667e-05,3.12584895483333,"Anserine †","C10H16N4O3","yes","no"
"190","20ppt3C","Exp_Melted",0.277721833333333,2.48661013953333,"Arginine †","C6H14N4O2","yes","no"
"191","35ppt0C","Exp_Ambient",0.1224894,4.03353305183333,"Arginine †","C6H14N4O2","yes","no"
"192","50ppt-3C","Exp_Frozen",0.0873364,3.98563384757333,"Arginine †","C6H14N4O2","yes","no"
"193","Hero1","Melted_hero",0.0789045333333333,1.34416321036667,"Arginine †","C6H14N4O2","yes","no"
"194","StaB1","SW_Station B1",0.05449306,3.53316924234,"Arginine †","C6H14N4O2","yes","no"
"195","StaB2","SW_Station B2",0.0334666666666667,3.01257189273333,"Arginine †","C6H14N4O2","yes","no"
"196","StaB3","SW_Station B3",0.0321333333333333,2.55934740726667,"Arginine †","C6H14N4O2","yes","no"
"197","StaB4","SW_Station B4",0.0298333333333333,3.64243740004,"Arginine †","C6H14N4O2","yes","no"
"198","StaB5","SW_Station B5",0.0233,3.12584895483333,"Arginine †","C6H14N4O2","yes","no"
"199","20ppt3C","Exp_Melted",0.000928,2.48661013953333,"Argininosuccinate †","C10H18N4O6","yes","no"
"200","35ppt0C","Exp_Ambient",0.000763,4.03353305183333,"Argininosuccinate †","C10H18N4O6","yes","no"
"201","50ppt-3C","Exp_Frozen",0.000588,3.98563384757333,"Argininosuccinate †","C10H18N4O6","yes","no"
"202","Hero1","Melted_hero",0.000325517333333333,1.34416321036667,"Argininosuccinate †","C10H18N4O6","yes","no"
"203","StaB1","SW_Station B1",0.0006132,3.53316924234,"Argininosuccinate †","C10H18N4O6","yes","no"
"204","StaB2","SW_Station B2",0.000893666666666667,3.01257189273333,"Argininosuccinate †","C10H18N4O6","yes","no"
"205","StaB3","SW_Station B3",0.000773333333333333,2.55934740726667,"Argininosuccinate †","C10H18N4O6","yes","no"
"206","StaB4","SW_Station B4",0.000917,3.64243740004,"Argininosuccinate †","C10H18N4O6","yes","no"
"207","StaB5","SW_Station B5",0.000587333333333333,3.12584895483333,"Argininosuccinate †","C10H18N4O6","yes","no"
"208","20ppt3C","Exp_Melted",0.0624,2.48661013953333,"Asparagine †","C4H8N2O3","yes","no"
"209","35ppt0C","Exp_Ambient",0.106064,4.03353305183333,"Asparagine †","C4H8N2O3","yes","no"
"210","50ppt-3C","Exp_Frozen",0.0406,3.98563384757333,"Asparagine †","C4H8N2O3","yes","no"
"211","Hero1","Melted_hero",0.00824666666666667,1.34416321036667,"Asparagine †","C4H8N2O3","yes","no"
"212","StaB1","SW_Station B1",0.03034,3.53316924234,"Asparagine †","C4H8N2O3","yes","no"
"213","StaB2","SW_Station B2",0.0345666666666667,3.01257189273333,"Asparagine †","C4H8N2O3","yes","no"
"214","StaB3","SW_Station B3",0.0326333333333333,2.55934740726667,"Asparagine †","C4H8N2O3","yes","no"
"215","StaB4","SW_Station B4",0.0549666666666667,3.64243740004,"Asparagine †","C4H8N2O3","yes","no"
"216","StaB5","SW_Station B5",0.0364333333333333,3.12584895483333,"Asparagine †","C4H8N2O3","yes","no"
"217","20ppt3C","Exp_Melted",0.110746966666667,2.48661013953333,"Aspartic acid †","C4H7NO4","yes","no"
"218","35ppt0C","Exp_Ambient",0.1093375,4.03353305183333,"Aspartic acid †","C4H7NO4","yes","no"
"219","50ppt-3C","Exp_Frozen",0.0470333333333333,3.98563384757333,"Aspartic acid †","C4H7NO4","yes","no"
"220","Hero1","Melted_hero",0.0575580666666667,1.34416321036667,"Aspartic acid †","C4H7NO4","yes","no"
