"","Sample1","Sample2","Metabolite distance (Euclidean)","Eukaryotic distance (Bray-Curtis)","Prokaryotic distance (Bray-Curtis)"
"153","SW_19_B","Sea ice_2",0.209418338509134,0.702652954048644,0.866128026227092
"154","SW_19_C","Sea ice_2",0.219246904567795,0.711445103383578,0.861576330072032
"155","Sea ice_1_A","SW_08_A",0.166559277981171,0.586059457415364,0.690053055480443
"156","Sea ice_1_B","SW_08_A",0.167227323258171,0.448304724514493,0.49521312780767
"157","Sea ice_1_C","SW_08_A",0.154007169785619,0.494295965662656,0.639775887592904
"158","Sea ice_2","SW_08_A",0.151250169093794,0.645233512206849,0.796391923805091
"159","Meltwater_A","SW_08_A",0.279362765010131,0.323854305868697,0.295715203135089
"160","Meltwater_B","SW_08_A",0.182101781735694,0.67325098827067,0.807612762922229
"161","Meltwater_C","SW_08_A",0.191532761702254,0.703302679353392,0.892659686923263
"162","SW_08_A","SW_08_A",0,0,0
"163","SW_08_B","SW_08_A",0.0457972339079009,0.155939330765855,0.159516499464908
"164","SW_08_C","SW_08_A",0.0554989656564165,0.433743803532517,0.354156527965803
"165","SW_12_A","SW_08_A",0.0955318164922652,0.27159016400205,0.436603754872384
"166","SW_12_B","SW_08_A",0.085766086831801,0.289788110782793,0.2847303528319
"167","SW_12_C","SW_08_A",0.0836803827284465,0.280929699099858,0.247507803790596
"168","SW_15_A","SW_08_A",0.100013441489056,0.348562083143223,0.30627880285099
"169","SW_15_B","SW_08_A",0.0895877327810659,0.350460945810521,0.315019107035341
"170","SW_15_C","SW_08_A",0.0686243561801396,0.346086632226282,0.312652330521363
"171","SW_17_A","SW_08_A",0.090498414711593,0.374662695159827,0.364820043451436
"172","SW_17_B","SW_08_A",0.0985724805712278,0.34790017039783,0.338931298598395
"173","SW_17_C","SW_08_A",0.0887700698321206,0.381628912595303,0.342284350988661
"174","SW_19_A","SW_08_A",0.0925046759371887,0.43023681800971,0.386540997603046
"175","SW_19_B","SW_08_A",0.111523622093684,0.432294683921057,0.415680711427561
"176","SW_19_C","SW_08_A",0.123300709751202,0.433913808238291,0.385876191077061
"177","Sea ice_1_A","SW_08_B",0.17609108634265,0.582749946254544,0.692004852554228
"178","Sea ice_1_B","SW_08_B",0.176703015776199,0.454541389361341,0.513581232746118
"179","Sea ice_1_C","SW_08_B",0.181031593130503,0.492197054946857,0.64259413788274
"180","Sea ice_2","SW_08_B",0.163125164439365,0.652334754251231,0.792424015813075
"181","Meltwater_A","SW_08_B",0.280815310727532,0.332042705082,0.307278443572916
"182","Meltwater_B","SW_08_B",0.200809888392521,0.691746686480049,0.814800110252658
"183","Meltwater_C","SW_08_B",0.209010311553601,0.721463383330975,0.893446369034474
"184","SW_08_A","SW_08_B",0.0457972339079009,0.155939330765855,0.159516499464908
"185","SW_08_B","SW_08_B",0,0,0
"186","SW_08_C","SW_08_B",0.0401292374754939,0.450112367422118,0.351705809111948
"187","SW_12_A","SW_08_B",0.0795256611456696,0.311468210925159,0.436113518193437
"188","SW_12_B","SW_08_B",0.0721721274107596,0.301056289372963,0.289964828665962
"189","SW_12_C","SW_08_B",0.0726600135712426,0.293430173301241,0.233351170340833
"190","SW_15_A","SW_08_B",0.101981274296259,0.354826050762636,0.29044883213291
"191","SW_15_B","SW_08_B",0.06868930377507,0.359968785923498,0.335701610992898
"192","SW_15_C","SW_08_B",0.0676947349375225,0.351476142359762,0.333845929051554
"193","SW_17_A","SW_08_B",0.0772063160611747,0.388795345797658,0.34581826235259
"194","SW_17_B","SW_08_B",0.0882971771466893,0.356577056119989,0.331741602384874
"195","SW_17_C","SW_08_B",0.0795496838169775,0.395424766597542,0.335517561065353
"196","SW_19_A","SW_08_B",0.0850678296856137,0.446817545967309,0.377110055348725
"197","SW_19_B","SW_08_B",0.10936017287967,0.455110677001159,0.411688745736791
"198","SW_19_C","SW_08_B",0.129820629486053,0.451198076216983,0.385880884988791
"199","Sea ice_1_A","SW_08_C",0.18050857928968,0.571205836681238,0.674908132507457
"200","Sea ice_1_B","SW_08_C",0.181082120692379,0.430317331018768,0.499130647651353
"201","Sea ice_1_C","SW_08_C",0.186031366079936,0.48246757855665,0.665033049847274
"202","Sea ice_2","SW_08_C",0.168270127357808,0.712052915725909,0.857940316504902
"203","Meltwater_A","SW_08_C",0.283612580328523,0.288727299936614,0.237148216461589
"204","Meltwater_B","SW_08_C",0.200897249334456,0.714849306248745,0.816114239406446
"205","Meltwater_C","SW_08_C",0.209164004090971,0.750944216247842,0.890189473604503
"206","SW_08_A","SW_08_C",0.0554989656564165,0.433743803532517,0.354156527965803
"207","SW_08_B","SW_08_C",0.0401292374754939,0.450112367422118,0.351705809111948
"208","SW_08_C","SW_08_C",0,0,0
"209","SW_12_A","SW_08_C",0.0573267851748176,0.370133463740924,0.428846900413886
"210","SW_12_B","SW_08_C",0.0822995833935644,0.372542361554741,0.398629736856285
"211","SW_12_C","SW_08_C",0.0611072230286349,0.317280417596018,0.276094736678117
"212","SW_15_A","SW_08_C",0.107762849518685,0.304395966682576,0.248749510100302
"213","SW_15_B","SW_08_C",0.0615763863230041,0.283420478267594,0.266192120234611
"214","SW_15_C","SW_08_C",0.0705942531673582,0.310232959020404,0.242556790636844
"215","SW_17_A","SW_08_C",0.0722820660124939,0.228694073693521,0.234586955012238
"216","SW_17_B","SW_08_C",0.0708934797037482,0.248591440349551,0.255924118740926
"217","SW_17_C","SW_08_C",0.0754058459508436,0.215257363822734,0.209412195283314
"218","SW_19_A","SW_08_C",0.0906594466666177,0.155314279973306,0.165956983788453
"219","SW_19_B","SW_08_C",0.129117178305487,0.126796739880947,0.17649443323414
"220","SW_19_C","SW_08_C",0.145606012291601,0.149971506268181,0.176805745154624
"221","Sea ice_1_A","SW_12_A",0.202684922528863,0.609174425224447,0.773586775074008
"222","Sea ice_1_B","SW_12_A",0.208060906104969,0.387071326667082,0.581006090350943
"223","Sea ice_1_C","SW_12_A",0.21751994193072,0.523221572793017,0.749612464606396
"224","Sea ice_2","SW_12_A",0.197866537044153,0.69315517196223,0.894309796007072
"225","Meltwater_A","SW_12_A",0.287718145075262,0.206827362438277,0.422957487392851
"226","Meltwater_B","SW_12_A",0.214309518974634,0.648891962115426,0.763904684963806
"227","Meltwater_C","SW_12_A",0.223589690765213,0.688132496083482,0.85096479157758
"228","SW_08_A","SW_12_A",0.0955318164922652,0.27159016400205,0.436603754872384
"229","SW_08_B","SW_12_A",0.0795256611456696,0.311468210925159,0.436113518193437
"230","SW_08_C","SW_12_A",0.0573267851748176,0.370133463740924,0.428846900413886
"231","SW_12_A","SW_12_A",0,0,0
"232","SW_12_B","SW_12_A",0.0846667683470783,0.223028480777411,0.503743344848413
"233","SW_12_C","SW_12_A",0.047420731637438,0.176365709740992,0.38682477515788
"234","SW_15_A","SW_12_A",0.111057971807297,0.244541243621257,0.415615914599859
"235","SW_15_B","SW_12_A",0.0411419392036132,0.225171670980193,0.434609701004578
"236","SW_15_C","SW_12_A",0.0715047143560298,0.244126307636244,0.397148749998895
"237","SW_17_A","SW_12_A",0.0571629429466906,0.279716185482135,0.425851739022076
"238","SW_17_B","SW_12_A",0.0461303590813124,0.264432954310486,0.440164954884801
"239","SW_17_C","SW_12_A",0.0638622277476681,0.294176993153219,0.406553536454948
"240","SW_19_A","SW_12_A",0.0980458539628781,0.360831208588433,0.418625717832923
"241","SW_19_B","SW_12_A",0.141064047799203,0.374997823026073,0.465026475458534
"242","SW_19_C","SW_12_A",0.161075504541862,0.369924129632376,0.461874243181574
"243","Sea ice_1_A","SW_12_B",0.204898715217662,0.524327380624349,0.56119981886674
"244","Sea ice_1_B","SW_12_B",0.198405943554333,0.359394523513686,0.409547905900986
"245","Sea ice_1_C","SW_12_B",0.206591952352312,0.424029388021409,0.453961713361231
"246","Sea ice_2","SW_12_B",0.182816008100894,0.584555963274173,0.630044212725452
"247","Meltwater_A","SW_12_B",0.254126267758686,0.222962929415587,0.318133111057315
"248","Meltwater_B","SW_12_B",0.194082498824519,0.662389637826167,0.801174602078006
"249","Meltwater_C","SW_12_B",0.204766498058197,0.672297803700727,0.888516844090896
"250","SW_08_A","SW_12_B",0.085766086831801,0.289788110782793,0.2847303528319
"251","SW_08_B","SW_12_B",0.0721721274107596,0.301056289372963,0.289964828665962
"252","SW_08_C","SW_12_B",0.0822995833935644,0.372542361554741,0.398629736856285
"253","SW_12_A","SW_12_B",0.0846667683470783,0.223028480777411,0.503743344848413
"254","SW_12_B","SW_12_B",0,0,0
"255","SW_12_C","SW_12_B",0.0558113010169851,0.133978754051828,0.309348499093902
"256","SW_15_A","SW_12_B",0.0546537745322962,0.216828206206451,0.351530395449805
"257","SW_15_B","SW_12_B",0.0727258001644417,0.22699306268682,0.350925164894449
"258","SW_15_C","SW_12_B",0.0505445331612123,0.212808680104162,0.353046769623602
"259","SW_17_A","SW_12_B",0.0732915451121804,0.282100902583623,0.39380896684609
"260","SW_17_B","SW_12_B",0.0908339310930321,0.251642946353524,0.337324012854823
"261","SW_17_C","SW_12_B",0.0776770137082071,0.29178467474596,0.387769559679695
"262","SW_19_A","SW_12_B",0.0727666339231581,0.332218955755776,0.402345513980834
"263","SW_19_B","SW_12_B",0.0984479871925514,0.354671716641104,0.43790031006427
"264","SW_19_C","SW_12_B",0.119881789567854,0.33979092471695,0.423756249285136
"265","Sea ice_1_A","SW_12_C",0.197240983360958,0.572755919492064,0.6652691255569
"266","Sea ice_1_B","SW_12_C",0.198379754981532,0.362071667082273,0.484677849069285
"267","Sea ice_1_C","SW_12_C",0.20372632300006,0.495859187718189,0.632568253530763
"268","Sea ice_2","SW_12_C",0.182993115993867,0.665453187720573,0.809766184330632
"269","Meltwater_A","SW_12_C",0.257385019439939,0.143562772853715,0.22386587970261
"270","Meltwater_B","SW_12_C",0.184998780318141,0.658478674660456,0.8036089523622
"271","Meltwater_C","SW_12_C",0.196413596455341,0.674791665352529,0.887597806276308
"272","SW_08_A","SW_12_C",0.0836803827284465,0.280929699099858,0.247507803790596
"273","SW_08_B","SW_12_C",0.0726600135712426,0.293430173301241,0.233351170340833
"274","SW_08_C","SW_12_C",0.0611072230286349,0.317280417596018,0.276094736678117
"275","SW_12_A","SW_12_C",0.047420731637438,0.176365709740992,0.38682477515788
"276","SW_12_B","SW_12_C",0.0558113010169851,0.133978754051828,0.309348499093902
"277","SW_12_C","SW_12_C",0,0,0
"278","SW_15_A","SW_12_C",0.0762447024161642,0.150187689653915,0.204029583188452
"279","SW_15_B","SW_12_C",0.0510805528373104,0.162275682833785,0.255989689307492
"280","SW_15_C","SW_12_C",0.0538341366151323,0.15163067668602,0.253309641020376
"281","SW_17_A","SW_12_C",0.0649887920220628,0.215610356532758,0.223829275741026
"282","SW_17_B","SW_12_C",0.0570609549312154,0.182719069818389,0.236540204770064
"283","SW_17_C","SW_12_C",0.0719176099734924,0.224940349666227,0.225058225016037
"284","SW_19_A","SW_12_C",0.0902651752402709,0.289608747047983,0.2856063212528
"285","SW_19_B","SW_12_C",0.131396883697808,0.300534372342773,0.327679697187488
