"","SampleID","variable","value","superkingdom","phylum","clade","class","order","family","genus","species","strain","taxon"
"97","B21","Firmicutes_Tenericutes_748",350,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"98","B22","Firmicutes_Tenericutes_748",753,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"99","B23","Firmicutes_Tenericutes_748",279,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"100","B51","Firmicutes_Tenericutes_748",732,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"101","B52","Firmicutes_Tenericutes_748",908,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"102","B53","Firmicutes_Tenericutes_748",1186,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"103","Barrow_Blank1","Firmicutes_Tenericutes_748",232,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"104","Barrow_Blank2","Firmicutes_Tenericutes_748",0,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"105","Barrow_S1IC4","Firmicutes_Tenericutes_748",46,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"106","Barrow_S1IC5","Firmicutes_Tenericutes_748",187,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"107","Barrow_S1IC6","Firmicutes_Tenericutes_748",1060,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"108","Barrow_S2C1D","Firmicutes_Tenericutes_748",833,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"109","Barrow_S2C2","Firmicutes_Tenericutes_748",441,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"110","Barrow_S2C3","Firmicutes_Tenericutes_748",411,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"111","mock_1","Firmicutes_Tenericutes_748",0,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"112","mock_2","Firmicutes_Tenericutes_748",0,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"113","mock_3","Firmicutes_Tenericutes_748",0,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"114","mock_4","Firmicutes_Tenericutes_748",0,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"115","B31","Proteobacteria_6937",470.625,"Bacteria","Proteobacteria","","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","","Marinomonas"
"116","B32","Proteobacteria_6937",416.25,"Bacteria","Proteobacteria","","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","","Marinomonas"
"117","B33","Proteobacteria_6937",358.125,"Bacteria","Proteobacteria","","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","","Marinomonas"
"118","B41","Proteobacteria_6937",615,"Bacteria","Proteobacteria","","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","","Marinomonas"
"119","B42","Proteobacteria_6937",416.75,"Bacteria","Proteobacteria","","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","","Marinomonas"
"120","B43","Proteobacteria_6937",531.875,"Bacteria","Proteobacteria","","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","","Marinomonas"
"121","blank771","Proteobacteria_6937",168,"Bacteria","Proteobacteria","","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","","Marinomonas"
"122","blank772","Proteobacteria_6937",0,"Bacteria","Proteobacteria","","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","","Marinomonas"
"123","blankdry1","Proteobacteria_6937",44.125,"Bacteria","Proteobacteria","","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","","Marinomonas"
"124","blankdry2","Proteobacteria_6937",0,"Bacteria","Proteobacteria","","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","","Marinomonas"
"125","blankFiltSW1","Proteobacteria_6937",0,"Bacteria","Proteobacteria","","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","","Marinomonas"
"126","blankFiltSW2","Proteobacteria_6937",0,"Bacteria","Proteobacteria","","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","","Marinomonas"
"127","blankMQ191118","Proteobacteria_6937",118.125,"Bacteria","Proteobacteria","","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","","Marinomonas"
"128","Carboy1","Proteobacteria_6937",653.5,"Bacteria","Proteobacteria","","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","","Marinomonas"
"129","Carboy2","Proteobacteria_6937",731.5,"Bacteria","Proteobacteria","","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","","Marinomonas"
"130","Carboy3","Proteobacteria_6937",473,"Bacteria","Proteobacteria","","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","","Marinomonas"
