"","SampleID","variable","value","variable2"
"320","iceslush","Bacteroidetes_1124",472.6,"Flavobacteriia"
"321","blankMQ121118","Bacteroidetes_1124",725.2,"Flavobacteriia"
"322","B12","Bacteroidetes_1124",726.6,"Flavobacteriia"
"323","B13","Bacteroidetes_1124",924.2,"Flavobacteriia"
"324","B14","Bacteroidetes_1124",1549.4,"Flavobacteriia"
"325","B21","Bacteroidetes_1124",308,"Flavobacteriia"
"326","B22","Bacteroidetes_1124",1507.6,"Flavobacteriia"
"327","B23","Bacteroidetes_1124",416.4,"Flavobacteriia"
"328","B51","Bacteroidetes_1124",1010.6,"Flavobacteriia"
"329","B52","Bacteroidetes_1124",916.6,"Flavobacteriia"
"330","B53","Bacteroidetes_1124",1126.4,"Flavobacteriia"
"331","Barrow_Blank1","Bacteroidetes_1124",1648.6,"Flavobacteriia"
"332","Barrow_Blank2","Bacteroidetes_1124",0,"Flavobacteriia"
"333","Barrow_S1IC4","Bacteroidetes_1124",543,"Flavobacteriia"
"334","Barrow_S1IC5","Bacteroidetes_1124",701.4,"Flavobacteriia"
"335","Barrow_S1IC6","Bacteroidetes_1124",1652,"Flavobacteriia"
"336","Barrow_S2C1D","Bacteroidetes_1124",1449.2,"Flavobacteriia"
"337","Barrow_S2C2","Bacteroidetes_1124",424.4,"Flavobacteriia"
"338","Barrow_S2C3","Bacteroidetes_1124",832.2,"Flavobacteriia"
"339","mock_1","Bacteroidetes_1124",0,"Flavobacteriia"
"340","mock_2","Bacteroidetes_1124",0,"Flavobacteriia"
"341","mock_3","Bacteroidetes_1124",0,"Flavobacteriia"
"342","mock_4","Bacteroidetes_1124",0,"Flavobacteriia"
"343","B31","Bacteroidetes_1149",23,"Flavobacteriia"
"344","B32","Bacteroidetes_1149",25,"Flavobacteriia"
"345","B33","Bacteroidetes_1149",19.5,"Flavobacteriia"
"346","B41","Bacteroidetes_1149",28.5,"Flavobacteriia"
"347","B42","Bacteroidetes_1149",37,"Flavobacteriia"
"348","B43","Bacteroidetes_1149",28.5,"Flavobacteriia"
"349","blank771","Bacteroidetes_1149",374,"Flavobacteriia"
"350","blank772","Bacteroidetes_1149",0,"Flavobacteriia"
"351","blankdry1","Bacteroidetes_1149",0,"Flavobacteriia"
"352","blankdry2","Bacteroidetes_1149",0,"Flavobacteriia"
"353","blankFiltSW1","Bacteroidetes_1149",0,"Flavobacteriia"
"354","blankFiltSW2","Bacteroidetes_1149",0,"Flavobacteriia"
"355","blankMQ191118","Bacteroidetes_1149",306,"Flavobacteriia"
"356","Carboy1","Bacteroidetes_1149",95.5,"Flavobacteriia"
"357","Carboy2","Bacteroidetes_1149",86,"Flavobacteriia"
"358","Carboy3","Bacteroidetes_1149",58,"Flavobacteriia"
"359","Carboy4","Bacteroidetes_1149",37.5,"Flavobacteriia"
"360","Carboy5","Bacteroidetes_1149",47,"Flavobacteriia"
"361","Carboy6","Bacteroidetes_1149",70,"Flavobacteriia"
"362","Carboy7","Bacteroidetes_1149",23,"Flavobacteriia"
"363","Carboy8","Bacteroidetes_1149",148.5,"Flavobacteriia"
"364","Carboy9","Bacteroidetes_1149",44.5,"Flavobacteriia"
"365","core_1","Bacteroidetes_1149",239,"Flavobacteriia"
"366","core_2","Bacteroidetes_1149",84.5,"Flavobacteriia"
"367","core_3","Bacteroidetes_1149",330,"Flavobacteriia"
"368","core_4","Bacteroidetes_1149",363.5,"Flavobacteriia"
"369","core_6","Bacteroidetes_1149",263,"Flavobacteriia"
"370","CTDSW","Bacteroidetes_1149",83,"Flavobacteriia"
"371","dockslush_1","Bacteroidetes_1149",48,"Flavobacteriia"
"372","dockslush_2","Bacteroidetes_1149",0,"Flavobacteriia"
"373","dockslush_3","Bacteroidetes_1149",33,"Flavobacteriia"
"374","Hero11","Bacteroidetes_1149",35.5,"Flavobacteriia"
"375","Hero12","Bacteroidetes_1149",78,"Flavobacteriia"
"376","Hero13","Bacteroidetes_1149",74.5,"Flavobacteriia"
"377","iceslush","Bacteroidetes_1149",94.5,"Flavobacteriia"
"378","blankMQ121118","Bacteroidetes_1149",264.5,"Flavobacteriia"
"379","B12","Bacteroidetes_1149",136.5,"Flavobacteriia"
"380","B13","Bacteroidetes_1149",155.5,"Flavobacteriia"
"381","B14","Bacteroidetes_1149",52.5,"Flavobacteriia"
"382","B21","Bacteroidetes_1149",24.5,"Flavobacteriia"
"383","B22","Bacteroidetes_1149",245,"Flavobacteriia"
"384","B23","Bacteroidetes_1149",42.5,"Flavobacteriia"
"385","B51","Bacteroidetes_1149",28.5,"Flavobacteriia"
"386","B52","Bacteroidetes_1149",23.5,"Flavobacteriia"
"387","B53","Bacteroidetes_1149",35.5,"Flavobacteriia"
"388","Barrow_Blank1","Bacteroidetes_1149",0,"Flavobacteriia"
"389","Barrow_Blank2","Bacteroidetes_1149",0,"Flavobacteriia"
"390","Barrow_S1IC4","Bacteroidetes_1149",127,"Flavobacteriia"
"391","Barrow_S1IC5","Bacteroidetes_1149",112.5,"Flavobacteriia"
"392","Barrow_S1IC6","Bacteroidetes_1149",64.5,"Flavobacteriia"
"393","Barrow_S2C1D","Bacteroidetes_1149",47.5,"Flavobacteriia"
"394","Barrow_S2C2","Bacteroidetes_1149",16,"Flavobacteriia"
"395","Barrow_S2C3","Bacteroidetes_1149",34.5,"Flavobacteriia"
"396","mock_1","Bacteroidetes_1149",0,"Flavobacteriia"
"397","mock_2","Bacteroidetes_1149",0,"Flavobacteriia"
"398","mock_3","Bacteroidetes_1149",0,"Flavobacteriia"
"399","mock_4","Bacteroidetes_1149",0,"Flavobacteriia"
"400","B31","Bacteroidetes_223",10.5,"Flavobacteriia"
