"","SampleID","variable","value","variable2"
"375","Hero12","Bacteroidetes_1149",78,"Polaribacter"
"376","Hero13","Bacteroidetes_1149",74.5,"Polaribacter"
"377","iceslush","Bacteroidetes_1149",94.5,"Polaribacter"
"378","blankMQ121118","Bacteroidetes_1149",264.5,"Polaribacter"
"379","B12","Bacteroidetes_1149",136.5,"Polaribacter"
"380","B13","Bacteroidetes_1149",155.5,"Polaribacter"
"381","B14","Bacteroidetes_1149",52.5,"Polaribacter"
"382","B21","Bacteroidetes_1149",24.5,"Polaribacter"
"383","B22","Bacteroidetes_1149",245,"Polaribacter"
"384","B23","Bacteroidetes_1149",42.5,"Polaribacter"
"385","B51","Bacteroidetes_1149",28.5,"Polaribacter"
"386","B52","Bacteroidetes_1149",23.5,"Polaribacter"
"387","B53","Bacteroidetes_1149",35.5,"Polaribacter"
"388","Barrow_Blank1","Bacteroidetes_1149",0,"Polaribacter"
"389","Barrow_Blank2","Bacteroidetes_1149",0,"Polaribacter"
"390","Barrow_S1IC4","Bacteroidetes_1149",127,"Polaribacter"
"391","Barrow_S1IC5","Bacteroidetes_1149",112.5,"Polaribacter"
"392","Barrow_S1IC6","Bacteroidetes_1149",64.5,"Polaribacter"
"393","Barrow_S2C1D","Bacteroidetes_1149",47.5,"Polaribacter"
"394","Barrow_S2C2","Bacteroidetes_1149",16,"Polaribacter"
"395","Barrow_S2C3","Bacteroidetes_1149",34.5,"Polaribacter"
"396","mock_1","Bacteroidetes_1149",0,"Polaribacter"
"397","mock_2","Bacteroidetes_1149",0,"Polaribacter"
"398","mock_3","Bacteroidetes_1149",0,"Polaribacter"
"399","mock_4","Bacteroidetes_1149",0,"Polaribacter"
"400","B31","Bacteroidetes_223",10.5,"Polaribacter"
"401","B32","Bacteroidetes_223",11.5,"Polaribacter"
"402","B33","Bacteroidetes_223",5,"Polaribacter"
"403","B41","Bacteroidetes_223",1.5,"Polaribacter"
"404","B42","Bacteroidetes_223",18.5,"Polaribacter"
"405","B43","Bacteroidetes_223",3,"Polaribacter"
"406","blank771","Bacteroidetes_223",130,"Polaribacter"
"407","blank772","Bacteroidetes_223",0,"Polaribacter"
"408","blankdry1","Bacteroidetes_223",0,"Polaribacter"
"409","blankdry2","Bacteroidetes_223",0,"Polaribacter"
"410","blankFiltSW1","Bacteroidetes_223",0,"Polaribacter"
"411","blankFiltSW2","Bacteroidetes_223",0,"Polaribacter"
"412","blankMQ191118","Bacteroidetes_223",126,"Polaribacter"
"413","Carboy1","Bacteroidetes_223",10,"Polaribacter"
"414","Carboy2","Bacteroidetes_223",5.5,"Polaribacter"
"415","Carboy3","Bacteroidetes_223",8,"Polaribacter"
"416","Carboy4","Bacteroidetes_223",6,"Polaribacter"
"417","Carboy5","Bacteroidetes_223",7,"Polaribacter"
"418","Carboy6","Bacteroidetes_223",13.5,"Polaribacter"
"419","Carboy7","Bacteroidetes_223",7,"Polaribacter"
"420","Carboy8","Bacteroidetes_223",11,"Polaribacter"
"421","Carboy9","Bacteroidetes_223",11,"Polaribacter"
"422","core_1","Bacteroidetes_223",90,"Polaribacter"
"423","core_2","Bacteroidetes_223",102.5,"Polaribacter"
"424","core_3","Bacteroidetes_223",352.5,"Polaribacter"
"425","core_4","Bacteroidetes_223",153,"Polaribacter"
"426","core_6","Bacteroidetes_223",670,"Polaribacter"
"427","CTDSW","Bacteroidetes_223",1.5,"Polaribacter"
"428","dockslush_1","Bacteroidetes_223",14,"Polaribacter"
"429","dockslush_2","Bacteroidetes_223",0,"Polaribacter"
"430","dockslush_3","Bacteroidetes_223",9.5,"Polaribacter"
"431","Hero11","Bacteroidetes_223",11.5,"Polaribacter"
"432","Hero12","Bacteroidetes_223",0,"Polaribacter"
"433","Hero13","Bacteroidetes_223",0,"Polaribacter"
"434","iceslush","Bacteroidetes_223",0,"Polaribacter"
"435","blankMQ121118","Bacteroidetes_223",113.5,"Polaribacter"
