"","SampleID","variable","value","variable2"
"355","blankMQ191118","Bacteroidetes_1149",306,"Polaribacter sp. L3A8"
"356","Carboy1","Bacteroidetes_1149",95.5,"Polaribacter sp. L3A8"
"357","Carboy2","Bacteroidetes_1149",86,"Polaribacter sp. L3A8"
"358","Carboy3","Bacteroidetes_1149",58,"Polaribacter sp. L3A8"
"359","Carboy4","Bacteroidetes_1149",37.5,"Polaribacter sp. L3A8"
"360","Carboy5","Bacteroidetes_1149",47,"Polaribacter sp. L3A8"
"361","Carboy6","Bacteroidetes_1149",70,"Polaribacter sp. L3A8"
"362","Carboy7","Bacteroidetes_1149",23,"Polaribacter sp. L3A8"
"363","Carboy8","Bacteroidetes_1149",148.5,"Polaribacter sp. L3A8"
"364","Carboy9","Bacteroidetes_1149",44.5,"Polaribacter sp. L3A8"
"365","core_1","Bacteroidetes_1149",239,"Polaribacter sp. L3A8"
"366","core_2","Bacteroidetes_1149",84.5,"Polaribacter sp. L3A8"
"367","core_3","Bacteroidetes_1149",330,"Polaribacter sp. L3A8"
"368","core_4","Bacteroidetes_1149",363.5,"Polaribacter sp. L3A8"
