"","SampleID","variable","value","variable2"
"385","B51","Bacteroidetes_1149",28.5,"Bacteroidetes"
"386","B52","Bacteroidetes_1149",23.5,"Bacteroidetes"
"387","B53","Bacteroidetes_1149",35.5,"Bacteroidetes"
"388","Barrow_Blank1","Bacteroidetes_1149",0,"Bacteroidetes"
"389","Barrow_Blank2","Bacteroidetes_1149",0,"Bacteroidetes"
"390","Barrow_S1IC4","Bacteroidetes_1149",127,"Bacteroidetes"
"391","Barrow_S1IC5","Bacteroidetes_1149",112.5,"Bacteroidetes"
"392","Barrow_S1IC6","Bacteroidetes_1149",64.5,"Bacteroidetes"
"393","Barrow_S2C1D","Bacteroidetes_1149",47.5,"Bacteroidetes"
"394","Barrow_S2C2","Bacteroidetes_1149",16,"Bacteroidetes"
"395","Barrow_S2C3","Bacteroidetes_1149",34.5,"Bacteroidetes"
"396","mock_1","Bacteroidetes_1149",0,"Bacteroidetes"
"397","mock_2","Bacteroidetes_1149",0,"Bacteroidetes"
"398","mock_3","Bacteroidetes_1149",0,"Bacteroidetes"
"399","mock_4","Bacteroidetes_1149",0,"Bacteroidetes"
"400","B31","Bacteroidetes_223",10.5,"Bacteroidetes"
"401","B32","Bacteroidetes_223",11.5,"Bacteroidetes"
"402","B33","Bacteroidetes_223",5,"Bacteroidetes"
"403","B41","Bacteroidetes_223",1.5,"Bacteroidetes"
"404","B42","Bacteroidetes_223",18.5,"Bacteroidetes"
"405","B43","Bacteroidetes_223",3,"Bacteroidetes"
"406","blank771","Bacteroidetes_223",130,"Bacteroidetes"
"407","blank772","Bacteroidetes_223",0,"Bacteroidetes"
"408","blankdry1","Bacteroidetes_223",0,"Bacteroidetes"
"409","blankdry2","Bacteroidetes_223",0,"Bacteroidetes"
